gt,pred,score,BloodPressureCuff,CPR,Intubation,CheckVitals,OralAirway,ChestTube,WrapWound,PlaceIV,Bagging,Tourniquet
Bagging,Bagging,0.963447,0.005917097441852093,0.030188249424099922,1.714542804620578e-06,1.8666715959625435e-06,1.2471630839172576e-07,9.939733303099274e-08,3.007935731602629e-07,3.0073117329720844e-08,0.9634469151496887,0.0004436616727616638
Bagging,Bagging,0.534498,0.22413887083530426,0.11169441044330597,0.011184423230588436,0.02056276425719261,0.005766686517745256,0.006292529869824648,0.002698668045923114,0.006020075175911188,0.534498393535614,0.07714325934648514
Bagging,Bagging,0.997738,0.001272266381420195,0.0002839525986928493,1.2925295322929742e-06,6.93706315360032e-05,5.622867774945917e-06,2.848408485078835e-06,1.0042690519185271e-06,7.970033379933739e-07,0.9977376461029053,0.000625197310000658
Bagging,Bagging,0.963325,0.03664499148726463,8.857112334226258e-06,5.704996510758065e-06,7.030719757494808e-07,1.0258198017254472e-05,2.7501766197701727e-08,5.919350343219776e-08,1.8254411315865582e-08,0.9633245468139648,4.777680260303896e-06
Bagging,Bagging,0.919665,0.07127648591995239,0.00016078240878414363,0.0058032069355249405,0.00036885705776512623,0.001440645195543766,5.095107917441055e-05,0.00015027615881990641,1.2728249203064479e-05,0.919664740562439,0.001071226317435503
Bagging,Bagging,0.986769,0.011383313685655594,9.062931894732174e-06,0.0016916709719225764,2.3941898689372465e-05,4.6070810640230775e-05,2.7476512514112983e-06,5.527522444026545e-05,1.5446204315594514e-07,0.9867689609527588,1.865137710410636e-05
Bagging,Bagging,0.994558,0.0046769846230745316,0.00042473035864531994,5.613789107883349e-05,2.5988549168687314e-05,8.34333332022652e-06,1.058130123965384e-06,4.97793325848761e-06,2.404375720743701e-07,0.9945580959320068,0.0002436466165818274
Bagging,Bagging,0.997272,0.0014541965210810304,1.128641906689154e-05,2.0776707970071584e-05,0.0008338919142261147,0.0002703955688048154,7.45165889384225e-05,5.774018973170314e-06,6.997312084422447e-06,0.9972715973854065,5.054644134361297e-05
Bagging,Bagging,0.954118,0.03597749397158623,0.006160285323858261,0.0004435073060449213,0.000637772202026099,0.00016734159726183861,6.463620229624212e-05,3.830989226116799e-05,4.358961632533465e-06,0.9541177749633789,0.0023887520655989647
Bagging,Bagging,0.928138,0.003054236061871052,0.001390033750794828,0.00015897401317488402,0.01507843192666769,4.86337739857845e-05,0.0033317268826067448,3.772853597183712e-05,0.0009771989425644279,0.9281384348869324,0.04778466373682022
Bagging,Bagging,0.638855,0.2717546820640564,0.06297025084495544,0.00014952108904253691,0.00018511559756007046,0.00024217278405558318,1.9414985217736103e-05,5.785653684142744e-06,0.00012776612129528075,0.6388547420501709,0.025690501555800438
Bagging,Bagging,0.872375,0.010974966920912266,0.027820885181427002,0.001177364494651556,0.0043869586661458015,0.000559534877538681,0.0007817340083420277,0.00020138740364927799,0.07038979977369308,0.8723748326301575,0.01133266743272543
Bagging,Bagging,0.52339,0.11417533457279205,0.00347962137311697,0.03974248468875885,0.021553922444581985,0.0013247020542621613,0.0046323989517986774,0.0007697304245084524,0.004529757425189018,0.5233897566795349,0.28640231490135193
Bagging,Bagging,0.824839,0.05218653380870819,0.0067517198622226715,0.011953890323638916,0.024586496874690056,0.020170237869024277,0.004813254810869694,0.006271830294281244,0.004006207920610905,0.8248392939567566,0.04442057013511658
Bagging,Bagging,0.989295,0.0036543570458889008,0.00031186669366434216,0.001409841817803681,0.001156570389866829,0.00015707027341704816,0.00021774233027826995,0.003505570814013481,8.108221663860604e-06,0.9892949461936951,0.00028381572337821126
Bagging,Bagging,0.977456,0.018139539286494255,0.0006410777568817139,0.0003673266910482198,0.00030875924858264625,0.0007821695180609822,3.819864650722593e-05,3.225593900424428e-05,4.787032230524346e-05,0.9774556159973145,0.002187146805226803
Bagging,Bagging,0.319438,0.11956055462360382,0.01749158278107643,0.0660805031657219,0.23896972835063934,0.09250819683074951,0.07102204859256744,0.019588284194469452,0.028824448585510254,0.3194378912448883,0.026516787707805634
Bagging,Bagging,0.802844,0.006250791717320681,0.07144448161125183,0.0005644098855555058,0.04669937118887901,0.0005356762558221817,0.015133221633732319,0.0003963590133935213,0.0033778443466871977,0.8028438091278076,0.05275416001677513
Bagging,Bagging,0.796518,0.05011134594678879,0.008658893406391144,0.023790450766682625,0.0632811039686203,0.005896301940083504,0.019317692145705223,0.01289428398013115,0.010294224135577679,0.796517550945282,0.00923809502273798
Bagging,Bagging,0.969262,0.028439484536647797,0.001458242884837091,6.574714916496305e-06,0.00011924229329451919,5.373715794121381e-06,8.14958730188664e-06,8.379440259886906e-06,4.2167533820247627e-07,0.9692621231079102,0.0006917929276823997
Bagging,Bagging,0.557895,0.21093210577964783,0.07783886045217514,0.034804459661245346,0.006352003198117018,0.034912921488285065,0.0032562550622969866,0.02426886558532715,0.0007533315801993012,0.5578946471214294,0.04898666962981224
Bagging,Bagging,0.871419,0.0666312724351883,0.011448835022747517,0.001798875629901886,0.006656050682067871,0.00754605932161212,0.0012227530824020505,0.0005500448169186711,0.002627972513437271,0.8714189529418945,0.03009912371635437
Bagging,Bagging,0.617367,0.001606311067007482,0.02863924391567707,0.004408246837556362,0.14903484284877777,0.0005114199593663216,0.02058475650846958,0.025556785985827446,0.0008742402424104512,0.6173666715621948,0.15141746401786804
Bagging,Bagging,0.983254,0.01304366160184145,0.00015298016660381109,0.00040873861871659756,0.001451775198802352,0.00045199101441539824,0.000304028537357226,0.0004283051530364901,2.117079020536039e-05,0.9832538962364197,0.00048337920452468097
Bagging,Bagging,0.854519,0.09450876712799072,0.0020142870489507914,0.000730480533093214,0.0007821255130693316,0.0005201281746849418,0.00013922785001341254,8.136662654578686e-05,4.6336863306351006e-05,0.8545190095901489,0.04665817692875862
Bagging,Bagging,0.90425,0.026223748922348022,0.0014330759877339005,0.006209700834006071,0.0036414889618754387,0.054165974259376526,0.0002604176406748593,0.003252563066780567,7.665090379305184e-05,0.9042500853538513,0.00048606900963932276
Bagging,Bagging,0.885072,0.030001455917954445,0.0005719197797589004,0.013465512543916702,0.007005840539932251,0.0010088535491377115,0.00024806198780424893,8.223777695093304e-05,0.0007597599178552628,0.8850721120834351,0.06178423762321472
Bagging,Bagging,0.996274,0.0012593100545927882,5.233526462689042e-05,0.0004849926626775414,0.00029976971563883126,5.985176812828286e-06,0.00021402053243946284,0.0013960010837763548,2.7280627818981884e-06,0.9962737560272217,1.1228888070036191e-05
Bagging,Bagging,0.995638,0.0034714031498879194,0.0006421664729714394,3.7535424780799076e-05,9.700423834146932e-05,7.311431090784026e-06,6.618897714361083e-06,5.168314601178281e-06,3.1291349387174705e-06,0.9956380724906921,9.157256863545626e-05
Bagging,Bagging,0.676088,0.29642152786254883,0.00107437779661268,0.008947787806391716,0.0023637202102690935,0.011755550280213356,0.0006857942207716405,0.0009290523012168705,0.0004527372948359698,0.676088273525238,0.001281204167753458
Bagging,Bagging,0.850729,0.10904659330844879,0.005766063928604126,0.0013089682906866074,0.00343199516646564,0.005552681162953377,0.0004739666183013469,0.00013045547530055046,0.00132453883998096,0.8507289886474609,0.022235743701457977
Bagging,Bagging,0.722313,0.025608601048588753,0.0007611651672050357,0.15360940992832184,0.0262632854282856,0.0033552651293575764,0.009179137647151947,0.05687271058559418,0.0005868960870429873,0.7223132848739624,0.0014502389822155237
Bagging,Bagging,0.416418,0.013662180863320827,0.03986001014709473,0.011165142059326172,0.27453768253326416,0.04266319051384926,0.07735732197761536,0.006006236653774977,0.09007195383310318,0.4164179563522339,0.028258290141820908
Bagging,Bagging,0.920378,0.0793125331401825,0.00014933575585018843,6.19625934632495e-05,5.001383669878123e-06,2.0222726107022027e-06,7.227109222185391e-07,5.108197456138441e-07,5.02413683989289e-07,0.9203776121139526,8.960806735558435e-05
Bagging,Bagging,0.533189,0.030766062438488007,0.2122073918581009,0.0007163423579186201,0.003852210706099868,0.0009280450758524239,0.001063401810824871,0.0013629408786073327,0.0001312381646130234,0.5331892371177673,0.21578317880630493
Bagging,Bagging,0.948883,0.045027438551187515,0.001204076106660068,0.001993559068068862,0.0006608787225559354,0.0008737312746234238,7.141582318581641e-05,0.00016435628640465438,6.038927494955715e-06,0.9488828182220459,0.0011157420231029391
Bagging,Bagging,0.53766,0.41485798358917236,0.000940851925406605,0.024855369701981544,0.006534937769174576,0.01010921224951744,0.0012701222440227866,0.001584573881700635,0.00024930425570346415,0.5376600623130798,0.0019374265102669597
Bagging,Bagging,0.988476,0.009031451307237148,0.0004541874513961375,6.653248419752344e-05,0.00037181706284172833,0.0008486860315315425,2.8911679692100734e-05,5.279369725030847e-05,2.539100023568608e-06,0.9884763956069946,0.0006666224217042327
